program_id,failed_count
So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo,329657.0
5znEfgDd9b97mmTPrTvZX8myfyFjJjgzWiZaYzYuQ9Kf,329013.0
4MangoMjqJ2firMokCjjGgoK8d4MXcrgL7XJaL3w6fVg,310051.0
FZfi2Xh8fvxbG84pmA9PPnJQypfPQkDbWDCtBkntnYa4,308297.0
zzsvJESpRRT3UBCNUC51NxD233weAmUMF6AqgtWuUDn,302056.0
FGDeqz5oAny9TN221Jpg4MdHcvwQ7TDjMe92ZbWiQ4hp,293237.0
bank7GaK8LkjyrLpSZjGuXL8z7yae6JqbunEEnU9FS4,288909.0
GzHeu1BN5gVTptHfgG7M97h4MbXASpFAJ9kCpLwfbbFs,280617.0
BSfD6SHZigAfDWSjzD5Q41jw8LmKwtmjskPH9XW1mrRW,276575.0
BMtVmmHRvVWWo9n2YD9P5zQnkZQruTwXuG9fw6bANYxk,274752.0
6e84wdHBa1joDWcyL7FZG9Fi2BtYTmvDNKfW2f8fNXnc,273220.0
HVtBDH5NXXU5Mg99o9zWX1F1yWeirfr2EueQJW5aiWCo,269206.0
2CyweuWbx3DCcmzePeN7nxqgTD396VuEC2UW2ZjKHbb2,265129.0
AdmeHkuykZnSdPNSwk7yhwWLtnqCDcVaqmK1WyDGaxir,260892.0
9HMC8WNeLUJi1UckuAFsgZqJ55KXivE7L6Q1A2vrEofB,253795.0
DCA265Vj8a9CEuX1eb1LWRnDT7uK6q1xMipnNyatn23M,253409.0
QoHLzip97BmPmkac7eXaVS2oiS6HizQ1bU3yD2FLEvD,252926.0
B3pMNnEBgJ7ioGZY6xCsvoGttFUmABTKZeYQp4GMxiJz,248606.0
Gd6M1gY6P9HzctXMMM9CFDyGbq58sFxrdH9SnG4rkNZH,245137.0
TCMPhJdwDryooaGtiocG1u3xcYbRpiJzb283XfCZsDp,242767.0
Guard1JwRhJkVH6XZhzoYxeBVQe872VH6QggF4BWmS9g,238968.0
8rgys2tsfYiFMCuNS3EwSLy1z1Vj5y4UyjHZcVDx3uUC,235017.0
AzHrwdCsEZotAjr7sjenHrHpf1ZKYoGBP6N7HVhEsyen,234271.0
BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY,228827.0
CNV9e9RXogVNsWyXY6zsDhbmqQMLjDujfkAnJF6gZagF,221853.0
NeonVMyRX5GbCrsAHnUwx1nYYoJAtskU1bWUo6JGNyG,211661.0
DCD2m9qvEUcEEfbppBGvPbBgnyGb3eJSx1jxHVsKtJWV,210924.0
4CgyHKuP6yi1vbmcdsArngEKcETR4nZupqYEMk2hEoQd,209798.0
CcrAd4QH71GHcC5wBRkSsMUBjrMbqaGXULm5azpRMycb,207106.0
369SJHcXHxb9vXekTzbSUvD35aotNZpbQdx7cNtbUbcY,205482.0
Print1Bbd4pf6MQboCh4vQZtLgxtqcxdXsnWu2SCfeV,204002.0
AfmiiWVWYACfVCUuHeAmVN15ATBHDyfKvwowmQKXt1kg,201010.0
B4WsnJUukmjdSWK37CrWpkJABwm3HB1dLqJQFHQVsoSa,199483.0
H9No547Qz6GefzK9fxvdMQc9pnsxSA9oRi97rjqsdxx,192958.0
a1dnET1M2CkNvSDunAxYEg4n7GLP9QJtPyiuG8TUptG,191053.0
ibrDFn3B4bVw4hXqgTbpjna6b1Jzyo2KAYUL6q8bX1n,189942.0
Hye5Ahzqv9fY8LsjygfXCmkuVL67rgKRNzqZSEhpwXUf,188947.0
HLG2NsnV1Dx3i97neVaQyR9qp9dxCFUFYSnFeRLfZUjs,187917.0
AB5YqhWip4SagTCQw29U8f8qpZDusBms3GDv3hVHNFkn,186517.0
Aza2jW4mjqyt8HtSLCwDTJWGJ1mRDjMQTQoiNTH6E32r,185964.0
FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,181247.0
73SDq31cy88AkKwPySkFxwfXsQAiG9NQ97yz7zoXqE8v,180735.0
imnaXTV3dZCKbTDsLyDSGDf7xtZNN8GteuuicMV1SYt,178700.0
SNPRohhBurQwrpwAptw1QYtpFdfEKitr4WSJ125cN1g,173232.0
6F3N8a6fccRb8HxnPv3T2LudFmJk6VBy7MiQCJPUUo6a,173161.0
AZ1j4Yb9eaTQ5nJzJ98FUeNP1cNNPKwvNTFpZjXh1HYQ,173051.0
9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,171247.0
